city,country,rent_for_one_person,transportation_public,grocery_for_one_person,entertainment,fitness,utility_bills,shopping,childcare_for_one_child,monthly_salary,price_for_toyota_corolla_1.6L_new_car,property_price,monthly_saving
Brno,Czech Republic,569.04,65.57,183.4,135.25,34.18,189.97,273.76,379.56,1165.23,22191.76,2724.12,-285.94
Munich,Germany,1180.69,140.22,262.02,220.02,39.55,318.91,362.04,647.27,2995.36,23429.63,10127.21,471.91
Poznan,Poland,452.91,49.93,138.72,126.36,25.23,192.68,276.42,225.66,902.81,19800.03,1955.86,-359.43
Las Vegas,"NV, United States",1064.43,119.2,236.48,262.15,26.25,238.09,250.56,896.72,3570.91,21765.68,1963.73,1373.75
London,United Kingdom,1958.1,292.34,228.55,312.41,52.46,259.84,324.63,1830.44,3142.9,28822.48,13329.15,-285.42
Los Angeles,"CA, United States",2020.59,159.47,306.8,277.38,41.93,194.97,272.96,1084.33,4524.07,21320.94,6532.3,1249.96
Panama City,Panama,774.84,82.05,250.89,167.44,46.14,154.88,242.23,264.22,805.22,19701.02,1928.37,-913.24
Seoul,South Korea,672.49,68.95,467.35,198.68,63.43,198.19,335.7,368.31,2417.19,24522.95,11604.99,412.4
Warsaw,Poland,617.75,49.12,164.71,139.86,29.61,184.51,295.25,373.4,1116.54,21238.12,3077.69,-364.26
Prague,Czech Republic,797.83,62.84,189.42,140.86,39.52,229.28,305.45,547.6,1349.48,20027.87,4814.59,-415.72
Wroclaw,Poland,529.56,44.41,149.52,131.51,25.24,201.29,269.14,291.05,966.85,20681.65,2089.69,-383.83
Kuala Lumpur,Malaysia,428.64,40.25,168.26,158.92,43.91,87.3,227.9,190.59,1052.49,28537.77,2349.57,-102.69
New York,"NY, United States",2646.52,184.46,414.37,345.47,76.43,198.96,308.69,2401.27,5318.62,20655.0,11440.41,1143.73
Copenhagen,Denmark,1227.51,129.77,300.14,294.17,42.01,267.58,423.79,489.65,3196.54,36534.79,5937.09,511.58
Ljubljana,Slovenia,586.05,72.96,218.24,152.9,46.3,267.57,294.66,420.41,1317.52,21740.31,3504.1,-321.14
Chandigarh,India,135.62,12.37,113.09,132.83,21.19,81.48,182.57,55.14,433.51,24097.98,1203.08,-245.64
Colombo,Sri Lanka,252.35,14.22,156.82,137.3,17.64,59.46,138.89,51.62,278.42,36652.99,1635.79,-498.25
Noida,India,141.47,19.56,94.57,119.93,25.34,83.82,168.37,100.19,611.8,23879.24,832.2,-41.27
Kaunas,Lithuania,345.15,50.73,165.03,151.26,31.51,153.24,304.93,351.77,878.94,20982.85,1834.5,-322.89
Athens,Greece,407.97,59.51,205.88,188.78,32.6,205.26,308.52,418.19,897.19,21500.76,2071.78,-511.34
Phoenix,"AZ, United States",1092.72,107.92,271.46,223.39,31.53,264.17,245.49,773.32,3549.36,20814.05,2025.36,1312.67
Hong Kong,Hong Kong,1965.13,98.45,347.29,225.36,77.94,228.32,337.74,730.01,2721.93,28888.52,25794.32,-558.29
Portland,"OR, United States",1393.93,152.02,338.81,252.12,45.49,245.6,271.35,1226.74,3879.59,23363.55,3359.5,1180.27
Lisbon,Portugal,857.99,61.67,178.52,157.73,39.44,157.25,315.71,480.37,1041.74,27795.0,3826.3,-726.58
Beijing,China,867.59,38.46,204.97,151.57,47.93,77.93,287.77,713.28,1296.48,17483.91,11456.77,-379.75
Cape Town,South Africa,663.52,51.38,164.25,129.78,39.27,144.42,267.85,213.03,1300.47,20072.32,2030.84,-160.0
Tirana,Albania,269.01,83.37,138.08,114.09,33.62,106.87,261.17,144.95,383.53,19578.47,1354.66,-622.69
Porto,Portugal,678.09,51.76,177.57,145.65,36.73,155.92,292.7,369.36,913.84,27459.75,2408.39,-624.57
Durban,South Africa,357.91,52.27,139.95,113.27,30.95,158.1,261.12,182.07,1063.86,19836.49,748.46,-49.7
Budapest,Hungary,476.86,63.22,150.71,120.98,43.15,186.28,264.95,311.56,861.06,20695.47,2748.59,-445.07
